,id,is_claimed,is_closed,review_count,rating,Restaurant Category 1,Restaurant Category 2,Restaurant Category 3,Pickup Available,Delivery Available,Reservation Available,Price Level,number of photos,City,State,Zip Code,Opening Time,Closing Time,Has Messaging
27,CIQbbv3pClkStU3dqhfbKg,True,False,25,2.5,burgers,hotdogs,tacos,0,1,0,Low,3,Prosper,TX,75078,0000,0000,0
28,cGkbxAlTLBBwWV5-6Ou4Fg,True,False,22,2.0,pizza,chicken_wings,hotdogs,1,1,0,Low,3,Prosper,TX,75078,0900,2200,0
29,lLys8FLpQw7m2McQjXECMw,True,False,45,3.5,tacos,tex-mex,,0,0,0,,3,Frisco,TX,75034,1000,2200,0
30,mNjBgjdHxbhUpZRJlPN8Tw,True,False,15,4.5,desserts,breakfast_brunch,sandwiches,1,1,0,,3,Prosper,TX,75078,0830,1630,1
31,bjf_GqoEITM8KXhR5C7Q4g,True,False,84,2.0,soup,sandwiches,salad,1,1,0,,3,Prosper,TX,75078,0700,2200,0
32,MxFpXpXgO8VaNoBT3Vs4hw,True,False,48,2.0,chickenshop,hotdogs,salad,0,1,0,,3,Prosper,TX,75078,0600,2200,0
33,UODnlRa6KH_sg2h87itk5Q,False,False,70,1.5,hotdogs,coffee,burgers,0,1,0,,3,Prosper,TX,75078,,,0
34,rqqxKB_xqy2Jif2TpDlomw,True,False,1,1.0,hotdogs,mexican,,0,0,0,,3,Frisco,TX,75078,0800,0100,0
35,ODbbhY_o8aNwdv-_PUFZpg,False,False,29,2.5,bbq,tradamerican,chicken_wings,1,1,0,,3,Prosper,TX,75078,,,0
36,KPOVqP2NifV_iDKUiYxbDg,True,False,30,3.0,sportsbars,tradamerican,cocktailbars,0,0,0,,3,Prosper,TX,75078,1100,0000,0
37,S9_I5wQG_eIyXUx6kiRbIw,True,False,112,4.0,pizza,,,0,1,0,Medium,3,Prosper,TX,75078,1600,2200,0
38,87wqbVMYCSJVPqIqI9dRrA,False,False,243,4.5,sushi,japanese,,0,1,0,Medium,3,Prosper,TX,75078,1100,1500,0
39,a2DhMIpjTKVS8PZ_wTj6Wg,True,False,223,3.5,steak,salad,chickenshop,0,0,0,Medium,3,Prosper,TX,75078,1500,2200,0
40,8jMd6HuRUNXWxC9XmMmgVw,True,False,33,3.0,tex-mex,latin,bars,0,0,0,Medium,3,Prosper,TX,75078,1100,2100,0
41,dAQ2Jfq0SPMFSgvmC9rXMw,True,False,182,4.0,thai,laotian,,1,1,0,Medium,3,Prosper,TX,75078,1100,2200,0
42,fhG2Xdg2Zl58kzox2AmNCg,True,False,79,3.0,italian,salad,soup,0,0,0,Medium,3,Prosper,TX,75078,1100,2200,0
43,SNHOYL6JEXEiL_ORK2IRfQ,True,False,103,3.0,breakfast_brunch,cafes,tradamerican,0,0,0,,3,Prosper,TX,75078,0700,1430,0
44,RvVX5URUKXSHQ_iJe-gQdw,True,False,112,1.5,hotdogs,burgers,,0,1,0,Low,3,Prosper,TX,75078,0000,0000,0
45,YCCnuIYQHW0Lnv_r7pFBbw,True,False,42,2.0,delis,sandwiches,hotdogs,1,1,0,,3,Prosper,TX,75078,1030,2100,1
46,EetNVXi8X-l-rwzDgu1ZaA,True,False,73,2.0,burgers,,,0,1,0,,3,Prosper,TX,75078,1100,2000,1
